AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,质量指标
68,71,44,71,34,22,0.97,79,78.01
72,79,46,74,37,19,1.05,75,77.81
78,81,51,86,40,26,1.07,63,77.58
78,136,51,92,26,26,0.93,84,78.84
89,148,60,99,33,28,0.9,92,78.2
114,166,76,127,43,35,1.13,105,57.59
84,149,59,92,31,22,0.88,104,78.37
80,130,49,76,18,21,0.88,101,79.57
82,119,51,81,33,22,0.92,100,78.13
70,121,44,77,17,23,0.87,83,79.61
78,159,53,93,29,28,0.9,86,78.53
55,80,28,50,22,17,0.72,82,78.8
56,104,34,53,16,18,0.76,69,79.5
42,26,23,36,9,9,0.68,76,100.01
51,55,26,46,24,15,0.74,71,78.6
46,52,29,46,22,24,0.98,47,99.07
34,26,22,31,40,21,1.13,55,97.35
52,87,33,41,42,23,1.11,69,77.24
76,119,54,72,26,25,1.13,60,79.07
59,64,40,60,12,19,1.04,64,80.24
44,48,22,42,9,16,0.8,52,100.12
61,107,33,61,24,24,0.92,58,78.85
35,33,23,32,24,18,0.95,45,98.78
49,53,31,45,15,14,0.77,89,99.58
54,36,24,42,23,24,0.95,69,78.89
51,38,29,52,10,20,0.71,64,80
46,39,26,46,9,18,0.66,65,100.02
58,76,30,56,25,22,0.75,68,78.55
64,82,39,68,26,21,0.67,65,78.46
77,139,50,88,36,25,0.76,68,77.66
52,57,31,53,38,21,0.7,60,77.21
50,46,27,50,24,19,0.73,46,98.6
93,163,61,107,50,29,1.06,81,76.67
92,170,56,88,22,27,0.78,89,79.14
52,84,24,48,29,21,0.67,64,78.01
53,103,28,59,29,27,0.74,40,78.12
72,171,44,87,29,27,0.88,56,78.42
68,104,34,67,32,19,0.85,105,77.99
78,92,53,92,30,29,0.9,61,78.43
74,81,48,84,16,28,0.87,79,79.75
100,149,69,110,51,31,1.18,99,76.77
83,129,54,87,45,22,0.98,84,77.02
56,78,34,59,36,18,0.93,61,77.67
54,54,32,55,13,17,0.86,76,79.88
64,117,36,64,25,24,1,82,78.86
59,125,37,66,14,21,0.85,73,79.82
68,141,45,72,31,23,0.95,71,78.3
67,153,47,66,17,13,0.92,89,79.69
59,146,35,56,29,11,1.03,91,78.48
64,148,42,70,27,14,1,71,78.72
32,32,15,29,12,13,0.71,45,99.66
53,90,28,52,34,23,0.94,53,77.82
54,67,34,58,42,23,1.04,38,77.18
45,38,29,46,37,18,1.05,55,97.64
61,97,37,60,38,16,0.75,92,77.32
83,147,52,84,48,23,1.01,116,76.73
93,167,66,105,43,27,0.97,100,77.33
109,174,82,117,46,25,0.93,101,57.15
95,143,68,99,32,23,0.98,109,78.46
120,160,90,149,34,42,1.08,76,58.58
103,134,73,110,21,31,0.93,93,59.56
72,115,47,89,17,30,0.85,70,79.62
74,149,48,91,23,33,1.04,80,79.22
82,169,59,88,35,23,1.02,74,78.11
99,174,74,103,41,21,1.24,99,77.88
113,173,82,120,57,28,1.35,92,56.47
84,128,61,86,35,20,1.1,71,78.21
88,154,63,91,29,19,1.05,98,78.78
113,164,85,121,46,21,1.26,104,57.51
132,182,98,144,47,22,1.24,150,57.52
153,173,115,170,32,24,1.13,136,39.08
147,157,109,158,44,32,1.07,120,57.76
132,147,97,145,56,36,1.17,129,56.54
140,153,103,152,53,34,1.08,128,56.81
121,147,88,127,42,22,0.92,139,57.6
127,177,96,129,51,22,0.93,130,56.79
151,186,114,153,37,21,1.03,151,38.47
175,185,132,179,33,25,1.08,144,39.1
192,185,145,201,50,41,1.29,138,37.74
217,190,168,235,74,58,1.6,107,35.88
204,187,157,227,60,55,1.57,120,37.14
183,164,139,202,43,51,1.37,112,38.46
144,156,100,149,24,45,1.16,116,59.76
106,124,74,129,36,48,1.22,69,58.36
74,76,51,93,27,33,1.04,54,78.85
65,46,41,62,32,19,0.99,105,78.2
91,82,66,104,50,34,1.15,105,76.81
123,138,92,152,59,49,1.37,88,56.39
144,163,106,168,54,52,1.44,84,57.1
160,176,121,183,50,52,1.52,85,37.73
161,181,120,177,54,54,1.57,71,37.37
118,169,86,134,29,42,1.13,86,59.09
73,106,51,86,15,29,0.89,76,79.9
79,116,57,87,26,31,1.03,65,79
72,103,50,68,21,30,1.01,44,79.41
60,62,42,57,33,20,1.22,37,78.34
34,10,22,31,35,19,1.15,58,97.87
57,47,35,62,52,28,0.96,79,76.11
71,45,44,88,45,27,0.81,88,76.75
112,131,84,114,45,34,1.08,53,57.42
83,85,60,85,45,21,1.02,60,77.12
49,36,31,38,20,16,0.92,74,99.23
40,27,26,36,35,19,1.04,56,97.8
49,44,34,42,21,14,1.09,65,99.33
45,24,30,39,30,17,1.28,47,98.58
39,16,26,34,38,18,1.19,35,97.65
54,56,38,50,33,16,1.03,51,78.11
88,152,65,93,51,23,1.08,75,76.63
107,148,80,129,57,34,1.11,78,56.21
133,156,100,134,61,35,1.27,49,56.17
85,66,62,74,43,22,1.19,54,77.51
93,82,69,82,48,22,1.24,54,77.13
101,102,75,97,43,22,1.12,70,57.57
120,121,90,124,58,25,1.1,81,56.2
144,139,109,161,63,44,1.41,73,56.2
199,142,149,208,71,56,1.62,48,36.01
222,160,171,225,80,45,1.77,75,35.48
168,148,129,178,40,47,1.68,60,38.97
100,135,72,120,33,41,1.36,48,78.78
49,36,32,47,43,21,1.54,38,97.56
66,51,47,70,40,27,1.48,48,77.95
104,139,77,122,40,40,1.49,55,58.26
84,123,58,98,23,36,1.06,53,79.34
59,42,36,62,15,20,0.73,62,79.59
57,69,38,62,30,20,1.07,51,78.45
74,90,54,74,55,21,1.39,76,76.43
67,93,46,81,31,15,0.82,77,78.18
41,17,28,31,31,22,1.19,39,98.37
47,51,31,42,43,18,1.09,67,97.1
62,70,42,67,43,18,0.8,81,76.92
75,69,55,77,52,21,0.83,59,76.18
70,46,50,60,29,15,0.82,62,78.42
91,82,67,92,48,21,0.98,80,76.85
106,120,79,101,40,25,0.91,65,57.7
63,33,45,52,45,25,1.14,34,77.09
69,72,49,64,48,22,1.06,46,76.75
79,102,54,99,52,23,0.76,59,76.1
81,85,56,104,64,29,0.79,66,74.95
106,100,79,137,60,43,0.91,60,55.7
130,114,98,132,59,36,1.04,52,56.12
89,136,61,103,39,20,0.78,84,77.49
67,68,38,81,31,19,0.59,86,77.87
88,85,63,109,48,49,1.07,83,76.9
90,85,66,87,55,34,0.97,71,76.13
126,171,94,116,59,46,1.17,62,56.21
129,179,97,130,57,35,1.19,69,56.46
99,122,73,115,37,40,1.21,88,78.24
148,149,112,167,62,65,1.65,61,56.57
174,148,131,181,78,62,1.76,66,35.27
163,167,123,154,63,38,1.39,92,36.32
186,163,140,155,39,31,1.25,76,38.75
163,139,123,143,47,31,1.61,55,38.14
102,68,75,92,49,29,1.21,73,57.06
144,111,109,152,70,54,1.76,59,55.85
167,143,126,184,40,65,1.65,55,38.91
167,507,127,175,68,56,1.54,37,36.01
99,264,72,123,36,24,0.94,121,78.06
137,562,103,165,56,48,1.31,100,56.74
179,310,135,203,48,64,1.65,84,38.2
186,240,142,180,29,57,1.36,65,39.88
160,225,122,158,21,52,1.58,31,40.7
91,248,67,81,30,34,1.57,33,79.24
87,227,64,73,41,24,1.42,48,77.96
88,160,65,81,34,22,1.3,77,78.55
96,155,71,88,36,25,1.21,65,78.32
44,26,30,35,24,25,1.07,49,98.97
55,60,38,43,24,24,0.9,43,78.88
61,108,44,52,28,22,0.99,53,78.63
89,182,65,86,33,27,1.2,59,78.55
104,202,78,105,34,33,1.14,62,58.52
101,178,75,104,26,34,1.03,77,59.18
140,243,106,141,46,42,1.4,59,57.86
131,257,99,121,34,30,1.04,96,58.63
152,328,115,139,48,30,1.18,86,37.53
141,313,106,140,46,42,1.59,76,58.05
242,365,191,253,62,78,1.94,50,37.65
183,351,142,179,50,46,1.51,65,37.93
151,301,114,165,39,52,1.47,72,38.71
151,248,113,156,31,53,1.37,82,39.4
102,130,72,114,21,39,1.15,89,59.77
188,272,146,199,56,60,1.63,53,37.49
181,253,136,180,49,56,1.47,52,37.93
178,354,135,162,39,40,1.64,56,39.09
77,281,56,67,18,31,1.85,37,80.61
33,30,22,30,23,25,1.35,20,99.27
33,21,22,32,24,21,0.99,24,98.81
56,107,39,50,24,21,1.03,38,79.02
46,43,32,41,23,22,1.11,26,99.13
66,80,47,61,25,23,1.25,20,79.22
38,15,26,31,21,21,1.22,19,99.38
53,69,37,51,22,20,1.25,36,79.42
126,296,95,115,33,22,1.18,78,58.83
163,347,123,150,41,39,1.28,81,38.41
182,352,138,178,43,48,1.37,56,38.45
134,322,101,126,27,34,1.06,86,59.37
119,306,90,115,35,28,0.9,117,58.3
192,349,151,178,36,45,1.31,71,39.22
228,355,178,182,30,45,1.61,56,40.39
271,362,221,263,30,69,2.54,56,21.75
269,364,218,255,27,64,2.34,34,21.82
221,342,176,180,13,52,1.81,35,42.27
119,229,89,119,17,43,1.6,35,60.79
120,224,90,145,19,35,2.03,56,61.03
61,80,43,60,12,26,1.14,69,80.37
108,251,80,97,16,27,1.27,47,60.47
170,291,142,149,37,15,0.97,69,38.69
55,144,36,55,7,9,0.78,85,80.44
40,41,25,38,9,12,0.83,61,100.18
45,61,31,41,17,18,1,40,99.61
56,106,40,51,21,21,1.06,39,79.36
60,121,41,57,19,22,1.08,34,79.59
90,258,66,82,20,24,1.21,43,79.87
53,146,36,49,17,20,1.2,36,79.86
60,224,41,58,15,20,1.08,54,79.99
40,131,27,36,17,17,1.01,39,99.58
41,67,27,36,18,15,0.84,73,99.31
80,214,58,70,14,22,0.95,57,80.13
40,30,26,32,12,18,1.02,50,100.08
60,196,41,59,12,14,0.81,70,80.02
29,27,19,24,10,17,0.93,41,100.12
23,16,13,17,11,15,0.9,40,99.93
41,44,28,35,8,16,0.83,43,100.31
39,40,27,30,11,23,1.11,24,100.28
60,140,42,54,20,26,1.05,32,79.47
69,207,49,55,12,17,0.91,63,80.2
31,20,20,24,10,16,1.06,47,100.26
57,105,40,46,12,25,1.16,42,80.36
56,91,40,43,11,33,1.6,19,80.9
75,134,54,58,16,33,2.22,16,81.16
78,132,57,70,18,26,2.22,16,80.99
91,191,67,88,22,26,1.78,19,80.25
83,216,60,75,14,22,1.11,46,80.31
84,258,61,89,10,24,0.95,68,80.56
137,332,103,134,19,41,1.43,36,60.56
112,273,83,105,27,31,1.42,30,59.55
50,40,35,49,21,21,1.14,53,99.39
89,203,65,91,25,30,1.12,62,79.27
78,239,57,68,17,23,1.08,45,79.95
60,149,42,50,17,19,0.97,68,79.69
70,197,50,61,21,22,1,45,79.4
115,323,86,107,37,31,1.34,35,58.5
101,274,75,94,24,24,1.4,43,59.75
88,197,64,83,26,32,1.21,36,79.25
89,180,65,89,19,32,1.18,39,79.93
54,74,35,55,11,21,0.86,56,80.11
43,42,26,41,8,14,0.73,63,100.19
52,103,34,52,8,13,0.74,77,80.28
60,173,40,59,9,13,0.8,100,80.3
66,184,45,67,8,13,0.85,109,80.5
75,219,52,73,9,13,0.91,115,80.53
79,234,57,72,9,11,0.86,92,80.53
105,315,78,93,28,21,1.27,72,59.25
38,58,25,32,29,22,1.55,52,98.9
36,46,24,31,31,20,1.12,63,98.26
33,19,20,26,12,15,0.82,54,99.82
39,53,26,35,18,17,0.8,58,99.26
61,115,42,58,26,21,0.79,80,78.61
77,244,52,76,32,28,0.92,89,78.24
98,337,68,116,36,44,1.12,83,78.2
86,247,54,99,30,24,0.82,131,78.36
97,232,66,109,18,21,0.89,145,79.75
109,246,76,125,21,37,1.01,106,59.67
71,87,45,84,15,19,0.79,119,79.74
67,119,43,77,10,15,0.79,91,80.22
100,326,69,115,11,15,1.1,153,80.69
47,76,24,41,26,19,1.27,79,98.91
55,116,33,48,21,17,0.88,92,79.11
61,127,42,61,26,16,0.81,108,78.63
73,168,52,67,33,24,0.99,79,78.21
76,174,55,69,31,23,1.05,67,78.5
63,74,42,62,27,24,0.95,77,78.67
104,284,77,112,39,34,1.16,88,58.03
97,280,71,105,20,28,1.05,91,79.76
71,174,50,80,14,27,0.95,82,80.05
88,251,60,91,24,35,1.05,71,79.25
64,80,43,70,16,32,0.88,68,79.71
46,51,22,39,9,14,0.66,80,99.98
60,184,39,58,22,21,1.01,88,79.2
63,158,44,62,16,18,0.86,65,79.7
53,89,36,48,22,18,0.93,59,79.09
44,42,27,40,25,16,0.89,77,98.66
76,175,55,80,29,24,1.07,51,78.72
88,218,64,94,25,27,1.16,65,79.3
55,117,35,56,15,26,0.93,69,79.78
63,192,40,61,21,22,0.91,71,79.21
55,118,36,55,10,20,0.78,75,80.14
45,98,18,30,14,16,0.68,84,99.46
75,268,30,91,20,14,0.55,106,78.85
55,82,34,58,13,19,0.74,72,79.78
41,40,22,38,11,11,0.6,66,99.72
44,78,25,41,14,17,0.72,71,99.57
75,212,53,68,28,20,1.02,104,78.75
62,125,39,54,21,18,0.81,82,79.1
50,90,32,46,11,17,0.82,74,100.04
75,208,53,73,26,23,1.19,66,79.12
40,58,18,31,11,20,0.97,59,100.05
55,127,36,52,18,10,0.9,96,79.46
68,185,48,59,12,13,0.97,84,80.25
37,46,22,32,21,19,1.11,72,99.23
46,55,26,41,27,17,1.05,80,98.61
63,140,43,63,28,21,1.1,66,78.73
60,127,40,64,15,26,1.08,59,79.98
50,78,26,47,10,14,0.71,91,99.97
52,95,23,44,11,12,0.69,99,79.82
62,204,31,57,11,15,0.79,107,80
62,215,37,59,25,23,1.03,86,78.9
57,116,34,51,18,15,1.11,83,79.65
55,116,28,46,12,11,0.8,97,79.88
52,144,25,48,12,13,0.78,85,79.83
49,150,20,40,10,13,0.74,83,99.94
52,165,23,44,13,15,0.82,88,79.75
42,69,21,33,25,14,1.07,69,98.78
64,170,38,61,23,20,1.03,83,79.11
43,95,21,34,11,14,0.86,73,99.97
36,68,16,27,13,11,0.87,71,99.73
46,108,30,46,26,18,1.2,62,98.9
51,120,30,48,11,19,1.05,63,80.25
38,44,16,25,18,16,0.92,72,99.28
49,94,24,47,19,16,0.86,74,99.2
42,80,23,40,12,19,0.91,57,99.94
37,65,11,17,11,14,0.8,64,99.81
36,52,19,33,12,13,0.85,50,99.84
34,42,14,29,11,9,0.75,60,99.79
34,47,13,29,12,10,0.69,63,99.62
41,78,20,39,18,15,0.82,59,99.22
55,162,37,56,33,18,1.08,55,78.15
56,172,38,52,25,19,1.3,56,79.18
60,151,39,58,21,15,1.02,63,79.31
53,141,34,52,25,15,0.92,65,78.76
43,98,25,42,18,15,0.85,54,99.3
31,74,11,25,11,12,0.78,52,99.79
31,51,13,27,8,11,0.75,57,100.08
41,106,18,38,8,9,0.71,74,100.09
42,136,17,37,8,9,0.69,80,100.06
45,146,18,36,8,9,0.68,86,100.06
46,152,16,38,8,8,0.67,86,100.03
53,220,22,45,7,8,0.75,97,80.27
55,205,26,57,8,13,0.87,91,80.33
57,210,33,65,17,21,0.97,71,79.6
60,220,38,67,24,22,1.11,66,79.09
39,63,24,36,20,16,1.2,53,99.44
37,62,21,30,23,13,1.07,70,98.98
43,81,27,39,23,11,0.94,74,98.91
53,150,33,49,23,12,1,99,79.03
57,155,30,44,21,10,0.84,100,79.04
65,203,46,66,29,14,1,93,78.56
79,280,57,73,29,17,1.25,83,78.92
47,123,31,46,23,13,1.03,63,99.04
68,212,45,71,22,19,1.03,75,79.28
110,320,71,118,31,33,1.11,112,58.72
96,273,66,105,16,27,1,98,80.06
79,265,54,83,14,24,0.93,82,80.07
50,112,30,45,15,12,0.88,83,99.68
50,127,27,42,20,14,0.94,94,99.21
81,306,56,76,20,13,1.05,116,79.61
66,242,44,62,21,13,0.98,104,79.32
70,227,49,69,19,14,0.99,97,79.58
84,307,57,80,14,17,1.1,98,80.27
36,66,18,32,9,11,0.83,54,100.11
28,28,10,16,8,15,0.82,52,100.12
38,88,23,35,14,23,1.09,42,99.92
49,136,33,47,14,18,1.07,55,100
