AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,质量指标
54,100,24,57,22,23,0.75,72,78.79
75,231,47,98,22,39,0.87,59,79.14
75,231,47,98,22,39,0.87,59,79.14
62,128,40,69,10,28,0.79,44,80.19
61,185,43,58,6,30,0.98,25,80.81
43,83,30,39,17,21,1.01,31,99.61
34,30,19,31,25,18,1,65,98.69
77,256,53,84,24,26,0.92,90,79.05
106,339,73,130,28,54,1.2,74,59.13
93,259,68,107,9,37,0.88,81,80.66
61,71,42,61,5,19,0.75,68,80.67
61,137,41,68,6,25,0.79,47,80.6
58,174,38,62,4,17,0.75,63,80.73
46,110,18,31,11,15,0.76,79,99.84
61,125,29,53,15,24,0.67,96,79.46
72,131,51,77,20,30,0.94,70,79.45
88,190,64,87,17,24,1.03,51,79.97
51,91,34,48,14,20,0.91,42,79.85
57,131,36,57,24,25,0.98,61,78.94
64,138,43,70,11,28,0.92,54,80.25
41,22,24,40,7,21,0.64,49,100.18
47,73,24,39,11,19,0.87,71,100.01
83,279,57,95,19,34,1.39,53,80.06
75,231,49,87,13,33,0.93,67,80.12
38,42,19,27,10,17,0.97,65,100.16
52,112,34,55,21,19,0.95,74,79.19
92,288,68,110,29,39,1.23,59,79.01
120,324,90,130,23,43,1.4,50,60
59,99,40,49,9,21,0.95,69,80.45
49,73,34,45,10,22,0.95,38,100.29
49,73,34,45,10,22,0.95,38,100.29
45,79,30,46,10,20,0.9,57,100.2
55,201,37,58,13,26,0.97,35,80.04
41,71,25,39,6,20,0.88,50,100.53
31,21,15,26,23,19,1.12,62,98.97
45,80,27,43,29,20,0.99,82,98.36
64,150,32,62,27,30,0.85,83,78.47
87,216,53,105,33,45,1.03,75,78.26
94,223,59,112,28,47,1.11,78,78.9
106,293,71,133,26,49,1.14,91,59.25
95,296,60,99,8,38,0.93,91,80.73
62,124,42,68,6,25,0.88,67,80.7
48,106,28,47,4,15,0.86,64,100.74
42,75,22,40,21,20,1.03,66,99.15
53,137,34,54,17,22,1.05,42,79.69
53,153,33,55,9,20,0.96,56,80.39
46,123,23,46,5,14,0.91,72,100.64
39,60,17,21,8,11,0.89,69,100.26
38,40,21,37,15,16,0.95,44,99.66
48,110,28,47,12,23,0.95,39,100.03
32,44,15,29,6,19,0.77,34,100.32
30,52,15,28,4,17,0.77,43,100.52
37,67,18,35,4,24,0.82,40,100.6
46,136,23,45,6,27,0.88,53,100.51
44,136,27,43,11,21,1.2,47,100.37
47,144,30,48,16,19,1.18,35,99.88
42,104,22,37,7,17,0.91,64,100.43
21,2,12,19,8,19,1.18,36,100.5
29,26,15,24,12,12,0.86,57,99.81
48,96,29,47,17,19,0.86,72,99.45
61,208,41,67,18,30,1.03,53,79.64
55,171,38,53,12,25,1.04,39,80.22
50,134,34,44,9,21,1.07,34,100.51
32,49,18,31,5,21,0.96,33,100.64
33,52,18,32,4,18,0.95,39,100.73
31,62,16,30,4,14,0.87,46,100.63
31,65,17,30,5,17,1.02,42,100.69
40,90,23,37,9,21,1.09,38,100.42
27,17,16,25,9,17,0.97,37,100.23
54,140,37,52,13,31,1.32,18,80.39
32,54,20,27,5,24,0.9,23,100.6
23,24,13,22,4,19,0.81,28,100.54
23,26,13,21,4,14,0.78,35,100.51
22,12,7,12,3,15,0.72,42,100.49
20,10,8,14,4,12,0.71,38,100.39
23,21,10,21,4,17,0.72,30,100.42
33,59,15,31,5,17,0.72,33,100.37
33,78,15,31,5,20,0.7,34,100.35
30,71,14,29,4,17,0.62,37,100.36
25,29,11,22,3,10,0.61,45,100.42
25,25,11,21,4,10,0.62,42,100.33
24,13,12,23,4,17,0.74,27,100.46
36,60,20,33,8,20,0.87,17,100.27
52,140,33,46,17,23,1.12,37,79.75
41,75,19,39,5,23,0.85,35,100.54
43,99,19,41,5,19,0.82,45,100.51
40,102,19,37,10,20,0.9,49,100.09
43,124,20,43,13,26,0.89,33,99.79
33,59,13,30,11,19,0.82,35,99.85
26,36,10,21,4,18,0.82,31,100.52
23,20,9,19,5,17,0.79,27,100.38
23,17,11,22,6,19,0.76,21,100.27
43,127,25,45,13,26,0.94,39,99.89
82,326,55,87,34,39,1.56,55,78.71
61,206,38,64,19,28,1.03,54,79.51
35,54,17,33,14,19,0.8,36,99.57
49,125,23,49,14,21,0.85,43,99.68
70,228,41,75,24,27,1.07,71,79.08
79,271,53,91,13,31,1.01,82,80.24
79,295,52,89,17,31,1.07,79,79.89
85,335,62,95,17,25,1.04,71,79.96
85,314,60,99,26,23,1.06,78,79.06
100,331,74,113,18,28,1.18,68,80.12
84,322,49,77,19,28,1.38,92,79.97
58,278,36,52,10,23,1.23,73,80.59
41,131,23,39,6,16,0.86,56,100.49
30,34,13,26,4,15,0.78,42,100.51
33,44,18,30,9,17,0.83,43,100.11
36,52,17,34,4,17,0.8,53,100.57
36,58,17,33,3,16,0.78,53,100.65
30,30,14,28,3,12,0.72,52,100.56
32,54,16,30,4,15,0.77,39,100.53
29,25,14,25,4,16,0.74,45,100.48
31,44,17,30,5,22,0.79,30,100.46
29,31,16,27,4,15,0.73,46,100.49
34,70,19,32,5,17,0.78,41,100.47
29,41,17,26,5,17,0.77,31,100.44
25,29,13,22,8,21,0.81,22,100.14
36,89,19,35,9,21,0.79,29,100.08
41,118,23,40,8,19,0.76,32,100.19
37,84,20,36,6,18,0.7,38,100.3
44,124,23,43,5,20,0.69,45,100.42
49,192,27,50,8,22,0.79,49,100.26
57,201,31,59,8,25,0.87,60,80.38
78,317,52,83,23,34,1.2,63,79.42
60,267,41,56,17,14,0.88,68,79.59
25,6,9,19,6,10,0.71,41,100.2
34,73,19,35,14,18,0.82,47,99.61
43,151,27,41,18,23,0.96,39,99.43
43,146,26,40,21,17,0.99,39,99.15
24,28,12,22,5,13,0.77,43,100.39
27,45,13,25,7,17,0.76,28,100.19
53,288,35,56,25,24,1.11,50,78.96
66,319,45,72,22,32,1.2,61,79.45
65,278,44,68,13,29,1,62,80.14
59,212,36,63,12,28,0.86,47,80.02
59,243,33,66,13,28,0.9,52,79.93
61,274,39,61,10,22,0.92,57,80.31
44,155,25,42,13,22,1.02,43,99.97
61,286,40,62,25,27,1.27,56,79.17
38,67,24,34,13,19,1.18,46,100.12
45,123,30,41,10,30,1.14,18,100.44
37,75,15,26,4,11,0.85,64,100.6
28,25,14,26,5,14,0.83,45,100.47
34,50,18,33,9,21,0.93,31,100.21
37,43,23,36,22,17,1.07,41,99.1
51,112,34,50,17,17,0.98,57,79.62
49,98,33,47,14,14,0.98,68,99.91
69,232,49,73,17,22,1.01,85,79.8
85,302,57,91,18,33,1.14,79,79.91
89,288,57,101,19,40,1.15,82,79.82
72,178,48,85,11,40,1.04,58,80.42
47,100,28,49,7,20,0.89,62,100.47
49,170,29,50,11,19,1.02,59,100.21
43,89,27,42,18,21,1.16,42,99.63
54,138,37,58,22,20,1.11,66,79.28
73,245,50,80,18,32,1.03,52,79.73
53,173,29,59,10,24,0.82,46,80.11
31,63,13,28,7,17,0.66,42,100.09
35,59,13,35,7,17,0.7,42,100.13
58,268,29,65,16,25,0.81,51,79.5
66,292,39,80,25,29,1.04,53,78.93
49,148,31,51,23,19,1.21,59,99.22
50,168,32,48,10,27,0.96,37,100.28
32,44,14,29,6,18,0.75,38,100.29
43,166,21,43,9,22,0.79,37,100.1
50,288,25,49,12,23,0.78,44,99.83
37,130,20,32,7,11,0.81,64,100.31
46,150,29,45,12,14,0.84,76,99.93
57,190,36,64,10,21,0.92,75,80.28
59,204,38,64,11,23,0.91,69,80.19
56,248,38,59,14,15,0.85,72,79.83
72,314,52,73,14,15,0.9,84,80.02
70,344,48,67,10,14,0.96,89,80.44
41,190,26,40,16,16,1.13,50,99.79
34,88,19,33,22,16,1.2,46,99.19
46,187,31,44,25,17,1.34,47,99.15
42,191,21,41,26,18,1.37,56,98.98
29,69,14,26,27,20,1.43,51,98.87
28,58,15,27,23,18,1.09,41,98.94
26,32,15,25,22,17,1.03,37,98.98
32,47,19,30,22,17,1.12,44,99.11
35,47,21,34,16,15,0.93,45,99.54
46,95,31,46,19,16,0.82,62,99.23
60,149,41,61,25,20,0.92,80,78.83
62,169,44,61,22,18,0.94,88,79.18
96,293,71,105,24,27,1.07,101,79.38
123,329,93,148,27,46,1.35,91,59.58
116,300,87,121,40,25,1.21,77,58.08
88,195,64,92,34,24,1.18,71,78.42
70,125,48,76,39,25,1.08,68,77.66
74,200,50,76,30,19,0.92,113,78.42
82,297,58,88,23,19,0.9,119,79.18
89,270,64,113,32,32,1.06,93,78.5
104,268,76,139,41,50,1.21,69,57.87
99,220,73,118,43,42,1.13,65,77.56
72,133,50,84,30,24,0.85,96,78.35
77,225,51,93,31,22,0.8,114,78.21
123,319,92,138,34,32,1.2,106,58.72
149,330,113,158,48,38,1.35,70,57.68
118,236,89,113,37,29,1.19,54,58.38
83,176,60,83,31,28,1.05,62,78.55
99,256,73,98,20,34,1.08,46,79.81
120,340,90,120,38,35,1.44,36,58.54
69,246,49,69,26,22,1.19,62,79.08
60,163,42,55,30,23,1.23,24,78.65
60,140,42,58,42,23,1.29,20,77.51
51,134,34,46,35,22,1.21,22,78.05
52,133,35,47,25,22,1.25,20,79.1
64,176,45,57,14,31,1.44,13,80.49
54,140,32,58,12,25,1.18,20,80.3
27,13,17,25,31,18,1.65,26,98.72
38,76,25,35,19,18,1.11,25,99.46
28,43,18,26,24,16,1.1,29,98.88
42,78,28,40,22,15,0.75,40,98.83
42,74,29,38,20,14,0.63,51,98.92
60,184,42,60,28,29,0.83,51,78.45
61,168,42,50,24,28,0.96,48,78.98
66,148,46,56,25,28,0.99,31,78.95
64,154,43,65,30,25,0.99,38,78.42
74,181,50,86,33,40,0.97,26,78.17
91,188,66,109,35,49,1.36,22,78.52
102,277,76,111,32,33,1.47,26,59.03
58,211,41,52,29,21,1.18,30,78.69
39,56,26,36,27,18,1.11,37,98.67
47,77,31,45,28,21,1,38,98.51
61,125,42,61,33,23,1,30,78.12
53,117,36,50,26,19,0.99,42,78.75
81,224,59,81,19,30,1.01,55,79.7
122,289,92,119,23,32,1.06,71,59.68
140,302,107,129,36,28,1.22,46,58.69
68,170,49,65,26,23,1.19,55,79.08
104,303,78,117,41,46,1.35,63,58.03
138,357,104,154,60,56,1.49,48,56.53
110,304,82,114,53,33,1.09,81,56.61
133,347,100,140,53,43,1.19,65,56.89
100,271,74,90,28,28,1.18,47,79.12
34,28,24,28,17,23,1.39,19,99.93
28,30,19,22,18,19,1.24,20,99.63
64,199,46,56,22,18,1.17,56,79.43
74,229,53,65,24,18,0.87,80,79
65,138,46,67,26,27,0.9,64,78.76
63,165,42,64,28,28,0.86,70,78.48
61,102,40,67,33,30,0.8,73,77.9
92,212,67,116,51,58,1.37,44,76.94
129,265,97,159,45,72,1.54,31,58.01
154,271,117,147,38,51,1.34,38,38.71
113,233,84,113,37,34,1.26,75,58.4
115,318,84,135,35,56,1.34,67,58.68
135,307,102,166,58,61,1.57,54,56.79
146,285,111,150,50,51,1.39,55,57.5
150,256,113,134,29,42,1.63,49,59.86
124,185,92,104,23,35,1.46,31,60.08
37,5,25,31,21,20,1.18,39,99.33
103,152,76,124,28,28,1.12,58,59.08
124,230,93,142,26,33,1.1,49,59.43
171,320,129,180,49,45,1.72,30,38.11
144,351,108,147,26,35,1.34,37,59.82
45,159,30,41,25,24,1.59,16,99.39
22,10,14,20,14,22,1.24,16,99.98
22,14,15,18,6,22,1.18,12,100.73
27,36,17,24,19,18,1.29,10,99.56
37,59,25,30,21,20,1.32,38,99.47
59,196,41,50,25,19,0.99,63,78.9
58,194,39,57,30,26,0.81,56,78.2
70,230,50,72,30,31,0.84,54,78.34
75,213,53,80,24,37,0.85,56,78.98
106,247,79,114,33,52,0.97,37,58.46
148,303,112,142,42,42,1.03,35,57.95
162,285,122,159,33,51,1.11,41,39.03
196,317,148,191,34,55,1.4,21,39.48
118,206,88,121,33,50,1.39,25,58.97
156,270,118,167,28,52,1.39,39,39.77
107,171,80,103,25,35,1.28,41,59.58
93,159,69,92,30,32,1.46,42,79.15
95,195,70,91,27,27,1.3,30,79.3
68,151,49,70,28,31,1.18,44,78.87
133,318,100,132,32,39,1.42,25,59.22
96,304,71,96,17,35,1.33,24,80.34
73,280,53,81,20,37,1.55,11,80.08
33,44,22,30,25,22,1.14,21,98.86
31,25,21,27,16,20,1.14,19,99.75
30,35,19,26,28,19,1.29,32,98.68
84,221,62,69,21,18,1.13,66,79.65
126,284,95,108,16,17,1.24,70,60.59
98,248,72,83,14,18,1.02,72,80.34
80,146,58,75,15,22,0.82,81,79.9
67,140,48,66,16,20,0.68,79,79.56
59,126,37,65,17,18,0.55,78,79.22
57,81,37,59,13,15,0.51,74,79.58
57,98,39,58,16,18,0.57,72,79.36
99,304,73,98,26,42,0.97,53,79.1
136,340,103,135,31,43,1.13,39,59.06
101,236,75,100,20,30,0.95,72,59.7
141,256,107,141,15,55,1.29,44,60.86
138,306,104,118,14,29,1.2,55,60.84
116,302,87,115,19,21,1.1,73,60.07
112,335,83,134,10,20,1.03,83,60.86
129,344,97,146,17,28,1.19,64,60.46
124,324,93,122,11,28,1.18,65,61.01
80,202,58,77,7,13,0.9,80,80.78
207,321,158,185,39,19,1.18,43,38.86
120,266,90,110,13,16,1.07,56,60.67
68,209,48,60,6,9,0.72,71,80.6
64,209,45,52,16,14,0.92,38,79.77
63,180,44,59,22,16,1.21,26,79.45
35,35,24,31,22,13,0.98,38,99.02
22,19,14,19,23,13,0.89,36,98.73
49,116,34,44,17,19,1.06,49,99.7
66,221,47,53,5,23,1.32,23,81.29
51,88,36,41,9,15,1.14,39,80.6
72,184,52,70,9,25,1.06,53,80.68
95,258,70,94,7,33,1.12,36,81.12
65,183,45,61,5,26,0.91,47,80.86
78,235,56,74,6,25,0.96,42,80.92
64,163,45,59,7,16,0.8,48,80.55
66,153,47,62,6,16,0.8,50,80.67
61,189,42,59,5,12,0.78,71,80.7
53,223,37,50,6,19,1.02,53,80.79
55,217,38,54,8,17,0.93,51,80.51
33,43,22,31,22,19,0.97,26,98.99
29,34,15,24,15,13,0.69,58,99.34
57,126,31,62,8,23,0.76,84,80.27
87,239,63,102,13,46,1.05,58,80.38
99,259,73,110,11,46,1.03,66,80.66
126,302,95,135,10,52,1.13,45,61.08
108,284,80,105,5,42,1.06,30,61.36
54,76,37,51,3,27,0.84,37,80.91
53,111,36,53,4,26,0.84,48,80.8
86,302,63,92,12,42,1.13,37,80.56
68,241,48,68,7,31,0.94,45,80.72
44,75,28,41,4,14,0.75,69,100.63
36,38,23,34,16,18,0.92,41,99.55
32,27,19,29,21,17,1.02,64,99.11
49,91,33,50,9,21,0.85,78,100.28
97,273,72,113,28,42,1.17,59,79.09
112,289,84,142,18,47,1.18,68,60.22
108,291,80,137,15,46,1.03,50,60.33
80,181,58,76,8,24,0.92,36,80.7
55,39,36,53,15,24,0.99,36,79.85
75,163,53,81,16,33,1.11,54,80.04
130,321,98,135,16,51,1.36,11,60.74
96,262,71,80,12,31,1.1,31,80.61
53,50,36,55,12,27,0.92,63,80.08
85,202,62,94,20,38,1.08,40,79.7
139,322,104,136,24,35,1.25,53,59.89
108,268,80,116,14,31,1.03,74,60.43
71,141,47,81,9,26,0.82,82,80.39
71,216,51,80,8,24,0.82,71,80.53
70,239,49,73,7,14,0.76,63,80.55
70,239,49,73,7,14,0.76,63,80.55
42,25,21,47,21,17,0.97,51,99.08
109,351,58,167,32,23,0.88,63,58.26
102,340,65,151,17,35,0.93,56,59.88
95,273,62,134,16,38,0.9,82,79.92
71,87,48,89,6,21,0.81,77,80.69
63,112,44,66,5,27,0.84,33,80.78
65,166,45,70,5,24,0.89,39,80.84
72,296,52,79,6,24,0.93,46,80.85
40,59,23,36,9,14,0.8,49,100.13
51,84,24,54,15,15,0.71,75,79.45
90,211,43,128,14,24,0.72,70,79.75
108,262,68,163,18,41,1,70,59.88
97,222,66,134,14,44,1.08,70,80.34
81,150,59,93,8,37,1.01,56,80.8
39,7,26,34,3,13,0.86,57,100.82
36,7,23,33,3,11,0.82,52,100.75
41,53,27,39,3,12,0.79,43,100.76
63,285,44,60,7,24,0.95,24,80.69
33,33,17,27,4,11,0.92,68,100.69
36,30,23,33,7,13,0.96,53,100.49
45,37,30,43,14,20,1.06,28,99.96
45,38,28,46,19,21,1.02,52,99.4
74,150,53,81,11,31,1.18,49,80.61
44,17,29,43,5,20,0.91,39,100.7
40,25,27,37,5,16,0.74,37,100.51
37,29,22,36,4,17,0.7,44,100.52
62,196,40,66,9,35,0.93,16,80.43
45,34,30,39,6,13,0.83,67,100.53
63,122,45,65,6,22,0.91,62,80.76
41,37,25,40,5,16,0.7,46,100.45
31,16,18,29,4,10,0.58,51,100.36
33,26,16,26,7,11,0.65,66,100.11
41,54,25,39,11,13,0.85,74,100
46,69,29,39,7,15,0.75,76,100.34
36,24,20,31,8,17,0.89,59,100.29
50,77,34,50,10,24,0.92,33,100.26
35,10,19,31,5,19,0.71,42,100.4
44,30,25,40,9,19,0.81,51,100.16
40,25,21,36,6,18,0.69,54,100.3
34,20,17,31,5,10,0.56,62,100.23
40,38,21,37,5,11,0.57,70,100.28
39,31,22,38,5,12,0.62,68,100.34
49,67,28,46,5,13,0.69,88,100.47
48,87,26,42,5,13,0.69,82,100.45
50,150,27,44,5,14,0.68,82,100.45
45,110,26,39,5,13,0.67,76,100.43
44,105,25,40,5,13,0.69,76,100.44
54,102,32,54,15,19,0.99,78,79.81
50,73,29,49,7,17,0.78,61,100.37
34,18,15,30,4,9,0.63,56,100.38
37,32,18,35,4,14,0.73,57,100.51
41,48,22,39,14,22,1.01,38,99.83
55,91,37,60,24,22,1.29,73,79.26
73,184,52,82,12,36,1.2,48,80.52
41,55,25,38,5,16,0.77,55,100.52
40,45,22,39,10,18,0.8,46,100.02
30,13,19,28,16,15,0.9,37,99.49
35,25,21,33,20,14,0.91,41,99.12
49,65,33,49,23,17,1.05,59,99.08
37,30,23,35,16,14,1.01,38,99.64
36,36,18,32,15,12,0.87,70,99.55
42,59,25,38,11,12,0.85,70,100
34,39,21,30,7,11,0.89,56,100.4
34,52,20,33,13,17,0.98,39,99.88
46,107,28,46,20,20,0.97,52,99.25
66,248,40,65,8,16,0.91,97,80.51
73,220,49,85,20,25,1.08,107,79.57
68,188,49,62,10,25,1.04,46,80.53
36,47,22,35,17,19,0.91,61,99.43
57,148,36,56,17,22,0.92,61,79.58
52,133,29,45,6,11,0.81,92,80.5
63,198,36,60,9,21,0.88,81,80.34
59,179,26,43,5,17,0.8,101,80.56
65,205,30,53,6,19,0.82,98,80.52
35,48,16,29,4,10,0.7,68,100.46
40,87,19,38,8,11,0.7,65,100.09
37,61,19,35,3,12,0.76,55,100.65
35,66,17,32,3,12,0.75,52,100.62
27,32,11,20,4,17,0.85,40,100.56
28,43,12,25,4,16,0.83,34,100.55
29,64,13,25,3,13,0.74,37,100.57
25,28,9,20,2,10,0.66,42,100.55
29,48,11,22,3,11,0.63,46,100.44
28,30,11,24,3,14,0.64,46,100.45
35,44,16,30,4,13,0.64,57,100.4
32,42,16,30,3,13,0.63,51,100.49
36,74,17,34,4,15,0.65,50,100.42
38,97,19,36,3,14,0.65,53,100.54
33,67,16,30,3,10,0.62,59,100.48
35,78,16,32,3,9,0.63,65,100.49
39,119,20,36,3,11,0.66,68,100.56
42,177,23,42,4,16,0.7,61,100.53
39,180,24,36,5,19,0.85,40,100.59
33,105,19,29,4,12,0.68,49,100.47
41,210,22,39,9,16,0.75,54,100.07
44,203,20,39,8,20,0.67,61,100.07
64,291,35,69,18,30,0.89,64,79.44
92,357,49,92,20,35,1.09,88,79.58
71,337,32,54,6,13,0.69,109,80.41
31,76,15,27,6,13,0.63,49,100.18
28,51,12,25,6,10,0.61,39,100.13
36,114,14,33,6,17,0.61,40,100.15
56,241,29,61,17,23,0.85,56,79.44
56,239,35,61,11,20,0.76,59,80.01
39,111,19,35,6,14,0.62,57,100.21
61,247,33,62,9,23,0.79,74,80.22
70,277,44,69,10,18,0.86,91,80.3
64,254,41,68,13,24,0.98,66,80.09
39,83,21,36,7,16,0.75,56,100.26
36,82,20,32,8,12,0.75,43,100.15
27,15,10,20,3,13,0.73,48,100.53
36,80,15,32,5,16,0.77,47,100.42
33,44,13,29,5,13,0.69,45,100.32
36,68,15,31,6,14,0.76,42,100.31
39,84,17,34,9,14,0.83,48,100.1
36,77,16,34,6,17,0.78,39,100.34
32,46,14,28,4,13,0.74,42,100.48
36,72,16,34,5,15,0.71,41,100.37
34,57,15,32,4,13,0.71,38,100.46
33,63,16,32,5,16,0.78,33,100.44
40,100,18,39,11,18,0.87,39,99.95
51,174,27,51,9,15,0.88,58,80.25
51,177,28,53,9,18,0.81,51,80.19
53,204,30,56,9,20,0.84,54,80.24
56,221,34,59,13,21,0.95,57,79.99
56,178,32,56,15,18,0.82,71,79.64
57,156,36,60,12,14,0.85,88,80.01
55,144,35,57,15,19,0.99,59,79.84
56,200,37,57,16,18,1.08,66,79.85
67,308,44,75,20,24,1.1,77,79.54
65,310,43,73,15,25,1.19,58,80.12
45,197,26,44,18,18,0.99,52,99.45
42,176,24,40,12,15,0.87,47,99.91
46,199,27,46,12,15,0.84,72,99.91
55,282,35,59,14,21,0.93,68,79.88
72,344,45,71,13,21,0.97,96,80.12
69,324,45,65,7,19,0.93,89,80.68
79,324,54,80,11,24,1.04,88,80.48
81,343,57,86,11,34,1.36,82,80.83
75,301,47,67,10,19,1.01,110,80.48
74,256,53,68,12,10,0.97,100,80.3
43,97,28,41,16,18,1.2,58,99.88
39,134,21,31,6,10,0.9,65,100.51
23,14,11,22,5,14,0.78,29,100.39
27,47,13,24,4,9,0.68,45,100.41
32,61,16,29,4,11,0.69,59,100.45
43,153,22,42,5,18,0.79,42,100.51
49,178,27,46,6,19,0.81,53,100.48
55,205,33,56,8,23,0.87,57,80.4
40,153,24,39,10,19,1.03,46,100.27
45,196,23,41,17,13,0.84,79,99.37
51,198,29,53,23,20,0.88,75,78.87
73,329,52,76,21,25,0.97,74,79.39
72,328,48,70,17,19,0.86,102,79.64
81,345,57,80,17,17,0.87,102,79.74
75,335,53,76,19,19,0.87,80,79.5
66,308,47,68,13,20,0.95,58,80.12
68,316,49,68,20,16,1.02,60,79.51
62,331,43,65,23,16,1.23,69,79.36
29,85,13,17,8,8,0.77,49,100.1
26,62,12,24,7,14,0.77,31,100.19
37,130,18,35,9,17,0.83,32,100.11
49,218,26,51,7,20,0.83,42,100.39
62,285,33,64,9,28,0.87,56,80.3
68,314,45,76,14,24,0.99,56,80.04
71,314,51,74,17,18,1.2,68,80.01
61,254,43,58,8,11,0.97,68,80.6
49,220,32,48,8,13,0.84,61,100.36
41,158,23,40,5,14,0.71,56,100.44
21,7,12,19,16,16,1.02,32,99.54
29,35,15,27,15,12,0.82,48,99.47
46,143,27,45,18,13,0.82,62,99.29
60,221,36,64,19,22,0.86,69,79.32
66,317,34,65,16,17,0.75,99,79.49
53,153,23,44,14,14,0.63,96,79.46
59,153,30,57,16,18,0.69,95,79.39
59,137,36,62,27,18,0.74,91,78.4
61,177,34,58,24,19,0.69,94,78.63
74,240,47,83,20,27,0.8,97,79.27
97,318,68,116,26,42,1.12,93,79.2
100,321,69,118,19,42,1.06,85,79.85
78,299,57,90,20,40,1.08,47,79.65
53,214,34,44,20,20,1.06,70,79.4
73,333,52,72,16,17,0.97,59,79.89
68,268,47,75,17,25,0.91,76,79.68
62,195,43,61,11,21,0.85,58,80.18
28,27,18,24,9,15,0.91,35,100.19
24,27,13,22,15,16,0.96,33,99.59
32,71,18,30,13,13,0.76,48,99.64
42,129,28,40,12,14,0.81,45,99.89
41,107,26,40,10,13,0.81,55,100.07
41,87,28,38,7,14,0.84,47,100.42
38,72,25,36,5,16,0.94,39,100.69
28,34,19,26,8,21,1.04,14,100.43
23,10,14,22,17,17,0.97,21,99.41
26,25,17,22,8,16,0.9,35,100.27
24,14,13,19,6,14,0.83,36,100.36
70,223,46,75,13,31,1.28,17,80.44
52,144,35,47,19,21,1.2,17,79.65
54,170,31,58,15,20,0.8,57,79.61
64,223,37,76,26,30,0.94,48,78.71
76,328,50,99,29,33,1.17,37,78.77
67,236,43,83,21,26,0.87,54,79.2
56,135,28,60,22,22,0.72,74,78.8
64,179,34,74,25,27,0.78,77,78.62
71,224,43,89,27,35,0.86,80,78.59
92,303,67,117,23,45,1.06,71,79.43
99,329,73,113,18,42,1.17,62,80.1
97,355,72,111,13,45,1.14,43,80.56
92,364,68,99,20,39,1.19,35,79.87
28,69,16,26,21,16,1.05,23,99.11
28,63,10,25,16,18,0.79,39,99.29
55,191,31,60,20,35,0.96,35,79.27
82,288,58,105,22,47,1.31,35,79.69
73,248,52,75,10,36,0.97,25,80.49
24,7,13,23,19,15,0.93,18,99.16
32,42,18,30,19,17,0.83,27,99.11
56,150,38,56,17,25,1.05,18,79.73
30,40,20,28,14,19,1.19,11,99.99
20,22,11,19,12,15,1.03,22,99.94
23,40,15,22,12,17,0.99,21,99.94
19,19,11,18,13,14,1.02,18,99.83
27,42,15,26,18,15,0.91,22,99.26
28,25,17,26,13,17,0.91,16,99.78
21,9,12,20,19,15,0.9,21,99.12
52,142,34,50,22,17,0.92,51,79.06
78,236,56,90,20,38,1.12,54,79.68
98,264,73,116,26,44,1.31,25,79.44
66,106,46,70,25,24,1.11,41,79.07
70,109,49,85,21,34,1.17,39,79.56
90,177,66,110,23,40,1.35,37,79.71
85,181,60,109,25,43,1.21,39,79.31
89,206,64,112,18,46,1.25,38,80.09
107,226,80,128,21,47,1.22,22,59.92
99,199,73,97,17,34,1.07,18,80.1
54,79,36,52,7,27,0.95,28,80.61
42,38,22,41,5,15,0.63,45,100.35
40,80,20,40,9,18,0.86,31,100.16
47,104,30,53,19,26,1.63,23,100.03
39,115,23,41,21,19,1.37,10,99.5
24,49,13,23,20,15,1.02,16,99.15
20,43,13,18,17,16,1.24,13,99.67
17,30,10,14,14,15,1.09,14,99.79
21,24,13,18,17,13,1.07,13,99.5
23,29,15,20,16,12,1.08,19,99.63
65,148,46,53,20,17,1,33,79.46
73,145,53,65,12,17,0.88,40,80.21
58,108,40,53,14,18,0.74,38,79.74
59,118,41,54,18,20,0.97,26,79.58
57,112,40,58,23,27,1.1,38,79.2
81,200,58,101,22,39,1.19,45,79.57
86,209,62,106,18,46,1.17,40,79.99
119,261,90,159,21,71,1.49,10,60.29
142,305,107,145,17,45,1.69,9,61.06
52,83,34,52,8,25,1.15,13,80.69
32,55,19,31,25,22,1.37,12,99.06
38,99,25,34,23,20,1.15,15,99.1
39,65,26,31,20,21,1.13,27,99.39
47,100,32,39,20,16,1.04,38,99.36
28,18,17,27,17,14,0.89,42,99.36
29,23,16,27,12,14,0.9,42,99.86
45,84,31,43,13,22,0.99,28,100
26,19,14,25,13,22,1.06,15,99.9
21,14,13,19,16,19,1.14,18,99.67
30,41,19,28,15,20,1.17,23,99.86
22,8,14,20,12,18,1.23,16,100.17
23,30,15,21,16,20,1.6,21,100.15
20,15,12,17,8,19,1.48,30,100.8
19,9,10,15,7,20,1.69,17,101.09
21,12,13,18,17,19,1.58,17,100.01
40,59,27,40,12,22,1.61,18,100.68
36,31,23,33,17,18,1.5,15,100.03
35,19,22,33,19,18,1.5,14,99.82
31,15,21,25,21,19,1.45,27,99.56
82,278,60,68,23,23,1.52,42,79.82
59,115,41,51,19,20,1.44,43,79.95
60,106,41,67,13,33,1.44,25,80.55
114,252,85,136,23,38,1.93,11,60.48
40,48,27,40,21,19,1.57,23,99.74
102,294,76,85,23,21,1.38,53,59.84
106,270,79,104,21,29,1.18,56,59.87
97,222,72,105,19,38,1.26,39,80.08
115,232,86,119,18,42,1.23,30,60.29
168,340,129,160,21,42,1.4,24,40.59
